title,year,country_1,country_2,country_3,language,duration,genre_1,genre_2,genre_3,production_company,director,description,actor_1,listing_1,actor_2,listing_2,actor_3,listing_3,budget_USD,usa_gross_income,worlwide_gross_income,avg_user_rating,votes,reviews_from_users,metascore,reviews_from_critics,male_avg_rating,male_votes,female_avg_rating,female_votes,avg_rating_<18yrs,votes_<18yrs,avg_rating_18-30yrs,votes_18-30yrs,avg_rating_30-45yrs,votes_30-45yrs,avg_rating_>45yrs,votes_>45yrs,positive_votes,neutral_votes,negative_votes,percentage_of_positive_reviews,overall_eval
Cleopatra,1963,Switzerland, UK, USA,English,192,Biography, Drama, History,Twentieth Century Fox,Joseph L. Mankiewicz,Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,Elizabeth Taylor,D,Richard Burton,D,Rex Harrison,D,44000000.0,57777778.0,57777778.0,7.0,27118,215.0,60.0,84.0,7.0,16362.0,7.2,5329.0,7.1,7.0,7.1,3592.0,7.0,10192.0,7.0,7412.0,18916,7308,894,0.7,1
Doctor Zhivago,1965,USA, Italy, UK,"English, Russian, French",197,Drama, Romance, War,Metro-Goldwyn-Mayer (MGM),David Lean,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",Omar Sharif,D,Julie Christie,D,Geraldine Chaplin,D,11000000.0,111721910.0,111918564.0,8.0,65567,289.0,69.0,94.0,8.0,41686.0,7.9,9973.0,8.0,15.0,8.0,7711.0,7.9,25109.0,8.1,17920.0,56076,7472,2019,0.86,1
Willy Wonka & the Chocolate Factory,1971,USA, East Germany, West Germany,"English, French, German, Italian",100,Family, Fantasy, Musical,Wolper Pictures Ltd.,Mel Stuart,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Gene Wilder,D,Jack Albertson,D,Peter Ostrum,D,3000000.0,526633.0,526633.0,7.8,165384,391.0,67.0,87.0,7.8,93077.0,7.9,33304.0,7.7,154.0,7.7,36278.0,7.8,62731.0,7.9,22436.0,141478,20411,3495,0.86,1
Superman,1978,USA, UK, Canada,English,143,Action, Adventure, Drama,Dovemead Films,Richard Donner,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",Marlon Brando,D,Gene Hackman,C,Christopher Reeve,D,55000000.0,134451603.0,300451603.0,7.3,150762,545.0,80.0,200.0,7.3,105096.0,7.3,11903.0,7.5,128.0,7.2,19880.0,7.3,66945.0,7.5,26768.0,117200,30044,3518,0.78,1
Superman II,1980,USA, UK, Canada,"English, French, Russian",127,Action, Adventure, Sci-Fi,Dovemead Films,"Richard Lester, Richard Donner","Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.",Gene Hackman,C,Christopher Reeve,D,Ned Beatty,D,54000000.0,108185706.0,108185706.0,6.8,92752,282.0,87.0,132.0,6.8,65510.0,6.7,6184.0,7.1,83.0,6.8,10632.0,6.8,41519.0,6.9,17314.0,58834,30536,3382,0.63,1
"Atlantic City, USA",1980,France, Canada, USA,"English, French",104,Crime, Drama, Romance,International Cinema Corporation (ICC),Louis Malle,"In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger.",Burt Lancaster,D,Susan Sarandon,B,Kate Reid,D,7200000.0,12729675.0,12729675.0,7.3,13633,66.0,85.0,53.0,7.3,9566.0,7.2,1126.0,7.5,4.0,7.5,1132.0,7.2,4579.0,7.4,4887.0,10542,2741,350,0.77,1
Blade Runner,1982,USA, Hong Kong, UK,"English, German, Cantonese, Japanese, Hungarian, Arabic",117,Action, Sci-Fi, Thriller,The Ladd Company,Ridley Scott,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Harrison Ford,A,Rutger Hauer,D,Sean Young,D,28000000.0,32868943.0,41706896.0,8.1,644930,1452.0,89.0,346.0,8.2,427469.0,7.8,56276.0,8.3,531.0,8.0,116984.0,8.1,249651.0,8.5,96252.0,558195,71811,14924,0.87,1
Never Say Never Again,1983,UK, USA, West Germany,"English, French, Spanish, Arabic",134,Action, Adventure, Thriller,TaliaFilm II Productions,Irvin Kershner,"A S.P.E.C.T.R.E. Agent has stolen two American nuclear warheads, and James Bond must find their targets before they are detonated.",Sean Connery,B,Klaus Maria Brandauer,D,Max von Sydow,D,36000000.0,55432841.0,55432841.0,6.2,57158,236.0,68.0,74.0,6.2,41453.0,6.3,3361.0,5.4,23.0,6.2,6729.0,6.1,24040.0,6.3,13041.0,24366,29578,3214,0.43,0
Amadeus,1984,USA, France, Czechoslovakia,"English, Italian, Latin, German",160,Biography, Drama, History,AMLF,Milos Forman,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",F. Murray Abraham,D,Tom Hulce,D,Elizabeth Berridge,D,18000000.0,51973029.0,52066791.0,8.3,345263,600.0,88.0,108.0,8.3,209573.0,8.3,53878.0,8.7,201.0,8.4,69706.0,8.3,128535.0,8.3,55731.0,312286,27092,5885,0.9,1
Enemy Mine,1985,USA, West Germany, UK,English,108,Action, Adventure, Drama,Twentieth Century Fox,Wolfgang Petersen,"During a long space war, the lives of two wounded enemies become dependent on their ability to forgive and to trust.",Dennis Quaid,A,Louis Gossett Jr.,D,Brion James,D,40000000.0,12303411.0,12303411.0,6.9,41045,130.0,59.0,74.0,6.9,29831.0,7.2,3209.0,6.2,4.0,6.9,1922.0,6.9,18665.0,6.9,11736.0,27645,12020,1380,0.67,1
